Tract,Count,Volume_voxels,Len_Avg,FA_Avg,RD_Avg,AD_Avg,MD_Avg
acomm,1500,121,121,0.266596,0.000861821,0.00125016,0.000991269
cc.bodyc,1500,5875,126.265,0.534904,0.000442469,0.00114451,0.000676482
cc.bodyp,1500,5682,128.304,0.570402,0.000431849,0.00119676,0.00068682
cc.bodypf,1500,5173,106.5,0.570701,0.000419089,0.00117842,0.000672197
cc.bodypm,1500,4860,103.159,0.598583,0.000394668,0.00119225,0.000660529
cc.bodyt,1500,10646,206.21,0.547361,0.000460784,0.00119331,0.000704957
cc.genu,1500,3418,87.5247,0.596019,0.000407659,0.00122105,0.000678791
cc.rostrum,1500,2808,85.456,0.587336,0.000426924,0.0012127,0.000688849
cc.splenium,1500,4575,131.934,0.646967,0.00037022,0.00126124,0.000667227
lh.af,1500,8952,132.389,0.458371,0.000489269,0.00104442,0.000674321
lh.ar,1500,1889,49.6687,0.456002,0.000504477,0.00105539,0.000688115
lh.atr,1500,1657,74.806,0.498992,0.000451072,0.00104253,0.000648224
lh.cbd,1500,2601,104.887,0.587386,0.000407896,0.00118194,0.000665911
lh.cbv,1500,2330,61.7487,0.50414,0.000491454,0.00115364,0.000712184
lh.cst,1500,5314,87.798,0.528369,0.000417594,0.00103126,0.000622149
lh.emc,1500,3927,106.934,0.470785,0.000500436,0.00107971,0.000693528
lh.fat,1500,3943,60.0807,0.506501,0.000451834,0.00105333,0.000652334
lh.fx,1500,96,96,0.410553,0.000638714,0.00123862,0.000838684
lh.ilf,1500,5786,112.048,0.49888,0.000510423,0.00118125,0.000734031
lh.mlf,1500,4517,106.781,0.495288,0.000515531,0.00118636,0.000739141
lh.or,1500,4749,81.4233,0.515867,0.000486919,0.00118589,0.000719907
lh.slf1,1500,4581,101.186,0.511157,0.000463326,0.00108303,0.000669895
lh.slf2,1500,11384,119.976,0.439735,0.000496509,0.0010141,0.000669039
lh.slf3,1500,8067,103.622,0.439909,0.000491456,0.000989567,0.000657491
lh.uf,1500,81,81,0.339068,0.000644999,0.00105497,0.000781657
mcp,1500,9253,122.129,0.48932,0.000418617,0.000948242,0.000595158
rh.af,1500,8734,150.476,0.443866,0.000500319,0.00102542,0.000675351
rh.ar,1500,988,54.1993,0.489278,0.000487037,0.0010853,0.000686459
rh.atr,1500,4287,76.5373,0.454517,0.000537334,0.00111494,0.000729867
rh.cbd,1500,3452,105.303,0.524123,0.000451605,0.00112396,0.000675725
rh.cbv,1500,862,55.7527,0.498277,0.000470765,0.00106735,0.000669628
rh.cst,1500,102,101.969,0.530627,0.00041105,0.00103735,0.000619816
rh.emc,1500,98,98,0.305177,0.000866883,0.00134255,0.00102544
rh.fat,1500,4034,64.098,0.470551,0.000463366,0.000988435,0.00063839
rh.fx,1500,4050,125.369,0.464087,0.00054677,0.00116211,0.000751882
rh.ilf,1500,3042,106.209,0.502264,0.000507962,0.00118385,0.000733258
rh.mlf,1500,3655,90.5067,0.476177,0.000515571,0.00112071,0.000717283
rh.or,1500,2579,89.6533,0.512261,0.000488495,0.00116831,0.000715102
rh.slf1,1500,4359,109.058,0.486296,0.000473326,0.00104923,0.000665294
rh.slf2,1500,7823,122.804,0.424206,0.000505674,0.000994238,0.000668529
rh.slf3,1500,7559,118.022,0.445032,0.000490028,0.000997747,0.000659267
rh.uf,1500,87,87,0.240359,0.000879013,0.00123509,0.000997706
